Deploy complete @ Wed Aug 23 2017 14:07:29 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:07:41 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:07:43 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:07:48 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:07:50 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:07:53 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:07:55 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:08:35 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:08:40 GMT-0700 (PDT). added/changed 7 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid, assets/airplantman-min.css, assets/airplantman.css.
Deploy complete @ Wed Aug 23 2017 14:11:36 GMT-0700 (PDT). added/changed 1 file(s): layout/theme.liquid.
Deploy complete @ Wed Aug 23 2017 14:11:44 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:11:47 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:12:00 GMT-0700 (PDT). added/changed 1 file(s): layout/theme.liquid.
Deploy complete @ Wed Aug 23 2017 14:12:04 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:12:07 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:12:49 GMT-0700 (PDT). added/changed 1 file(s): layout/theme.liquid.
Deploy complete @ Wed Aug 23 2017 14:13:15 GMT-0700 (PDT). added/changed 1 file(s): layout/theme.liquid.
Deploy complete @ Wed Aug 23 2017 14:14:02 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:14:04 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:14:23 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:14:24 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:15:55 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:16:00 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:16:06 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:16:09 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:16:22 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:16:24 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:16:34 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:16:36 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:17:36 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:17:38 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:18:28 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
